date,p,T,Tpot,Tdew,VPmax,VPact,VPdef
1/1/2020 0:10,1008.89,0.71,273.18,-1.33,6.43,5.54,0.89
1/1/2020 0:20,1008.76,0.75,273.22,-1.44,6.45,5.49,0.95
1/1/2020 0:30,1008.66,0.73,273.21,-1.48,6.44,5.48,0.96
1/1/2020 0:40,1008.64,0.37,272.86,-1.64,6.27,5.41,0.86
1/1/2020 0:50,1008.61,0.33,272.82,-1.5,6.26,5.47,0.79
1/1/2020 1:00,1008.44,0.34,272.84,-1.54,6.26,5.45,0.81
1/1/2020 1:10,1008.49,0.19,272.69,-1.65,6.19,5.41,0.78
1/1/2020 1:20,1008.4,0.03,272.53,-1.7,6.12,5.39,0.73
1/1/2020 1:30,1008.29,0.11,272.63,-1.61,6.16,5.43,0.73
1/1/2020 1:40,1008.28,0.22,272.73,-1.62,6.2,5.42,0.78
1/1/2020 1:50,1008.24,-0.04,272.48,-1.85,6.09,5.33,0.76
1/1/2020 2:00,1008.32,-0.21,272.3,-1.78,6.01,5.36,0.66
1/1/2020 2:10,1008.24,-0.1,272.42,-1.74,6.06,5.37,0.69
1/1/2020 2:20,1008.35,-0.16,272.35,-1.88,6.04,5.32,0.72
1/1/2020 2:30,1008.3,-0.22,272.3,-1.82,6.01,5.34,0.67
1/1/2020 2:40,1008.4,-0.06,272.45,-1.77,6.08,5.36,0.72
1/1/2020 2:50,1008.39,-0.17,272.34,-1.81,6.03,5.35,0.69
1/1/2020 3:00,1008.46,-0.05,272.45,-1.71,6.09,5.39,0.7
1/1/2020 3:10,1008.15,-0.21,272.31,-1.84,6.01,5.33,0.68
1/1/2020 3:20,1008.07,-0.77,271.77,-2.31,5.78,5.15,0.62
1/1/2020 3:30,1008.12,-0.93,271.61,-2.26,5.71,5.17,0.54
1/1/2020 3:40,1008.04,-0.86,271.68,-2.17,5.73,5.21,0.53
1/1/2020 3:50,1008.16,-0.87,271.66,-2.16,5.73,5.21,0.52
1/1/2020 4:00,1008,-1.02,271.52,-2.31,5.67,5.15,0.52
1/1/2020 4:10,1007.76,-1.15,271.41,-2.37,5.61,5.13,0.48
